date,family,forecast,lower_ci,upper_ci
2017-08-16,GROCERY I,227115.37357142862,124913.45546428575,329317.2916785715
2017-08-17,GROCERY I,229546.46936734696,126250.55815204085,332842.3805826531
2017-08-18,GROCERY I,234502.5241341108,128976.38827376095,340028.65999446064
2017-08-19,GROCERY I,233971.18158184094,128684.14987001252,339258.21329366934
2017-08-20,GROCERY I,233305.97423638962,128318.2858300143,338293.6626427649
2017-08-21,GROCERY I,229715.04884158814,126343.27686287349,333086.8208203028
2017-08-22,GROCERY I,230337.81381895786,126685.79760042683,333989.8300374889
2017-08-23,GROCERY I,231213.48365023755,127167.41600763067,335259.55129284447
2017-08-24,GROCERY I,231798.9279472103,127489.41037096568,336108.4455234549
2017-08-25,GROCERY I,232120.70774433363,127666.3892593835,336575.0262292838
2017-08-26,GROCERY I,231780.44826007975,127479.24654304388,336081.6499771156
2017-08-27,GROCERY I,231467.486356971,127307.11749633406,335627.8552176079
2017-08-28,GROCERY I,231204.84523133977,127162.66487723688,335247.02558544267
2017-08-29,GROCERY I,231417.67328701858,127279.72030786023,335555.6262661769
2017-08-30,GROCERY I,231571.93892531298,127364.56640892215,335779.3114417038
2017-08-31,GROCERY I,231623.14682175228,127392.73075196377,335853.5628915408
2017-09-01,GROCERY I,231598.03523240116,127378.91937782065,335817.1510869817
2017-09-02,GROCERY I,231523.36773069648,127337.85225188307,335708.8832095099
2017-09-03,GROCERY I,231486.6419407846,127317.65306743154,335655.6308141377
2017-09-04,GROCERY I,231489.37845275798,127319.1581490169,335659.59875649906
2017-09-05,GROCERY I,231530.02605581773,127341.51433069976,335718.5377809357
2017-09-06,GROCERY I,231546.07645136048,127350.34204824828,335741.8108544727
2017-09-07,GROCERY I,231542.3818122244,127348.30999672343,335736.45362772536
2017-09-08,GROCERY I,231530.84395372044,127341.96417454626,335719.72373289464
2017-09-09,GROCERY I,231521.2451996232,127336.68485979277,335705.80553945363
2017-09-10,GROCERY I,231520.94198089844,127336.51808949416,335705.36587230273
2017-09-11,GROCERY I,231525.84198662895,127339.21309264594,335712.470880612
2017-09-12,GROCERY I,231531.0510628962,127342.07808459293,335720.0240411995
2017-09-13,GROCERY I,231531.19749247885,127342.15862086338,335720.2363640943
2017-09-14,GROCERY I,231529.07192692434,127340.9895598084,335717.1542940403
2017-09-15,GROCERY I,231527.17051473865,127339.94378310627,335714.397246371
2017-09-16,GROCERY I,231526.64573774123,127339.65515575769,335713.6363197248
2017-09-17,GROCERY I,231527.41724318665,127340.07948375266,335714.75500262063
2017-09-18,GROCERY I,231528.3422806564,127340.58825436102,335716.0963069518
2017-09-19,GROCERY I,231528.69946551745,127340.78470603461,335716.6142250003
2017-09-20,GROCERY I,231528.3635230348,127340.59993766915,335716.12710840045
2017-09-21,GROCERY I,231527.95867025707,127340.3772686414,335715.54007187276
2017-09-22,GROCERY I,231527.79963359033,127340.2897984747,335715.30946870596
2017-09-23,GROCERY I,231527.889507712,127340.33922924161,335715.4397861824
2017-09-24,GROCERY I,231528.06718913637,127340.43695402502,335715.69742424774
2017-09-25,GROCERY I,231528.16003855778,127340.4880212068,335715.83205590874
2017-09-26,GROCERY I,231528.13400397226,127340.47370218475,335715.7943057598
2017-09-27,GROCERY I,231528.0532237515,127340.42927306335,335715.6771744397
2017-09-28,GROCERY I,231528.00889528246,127340.40489240536,335715.61289815954
2017-09-29,GROCERY I,231528.01607028607,127340.40883865736,335715.6233019148
2017-09-30,GROCERY I,231528.0469898141,127340.42584439776,335715.66813523043
2017-10-01,GROCERY I,231528.06948725722,127340.43821799148,335715.70075652294
2017-10-02,GROCERY I,231528.0698155602,127340.43839855811,335715.70123256225
2017-10-03,GROCERY I,231528.05692656056,127340.43130960832,335715.6825435128
2017-10-04,GROCERY I,231528.04591550172,127340.42525352596,335715.6665774775
2017-10-05,GROCERY I,231528.04487146603,127340.42467930632,335715.6650636257
2017-10-06,GROCERY I,231528.05001092082,127340.42750600647,335715.6725158352
2017-10-07,GROCERY I,231528.05485958295,127340.43017277063,335715.67954639526
2017-10-08,GROCERY I,231528.05598383563,127340.43079110961,335715.68117656163
2017-10-09,GROCERY I,231528.05405477542,127340.42973012649,335715.6783794243
2017-10-10,GROCERY I,231528.05180323473,127340.42849177911,335715.6751146903
2017-10-11,GROCERY I,231528.05107133108,127340.42808923211,335715.67405343003
2017-10-12,GROCERY I,231528.0518078781,127340.42849433297,335715.67512142326
2017-10-13,GROCERY I,231528.0527987941,127340.42903933676,335715.67655825143
2017-10-14,GROCERY I,231528.0531970617,127340.42925838394,335715.6771357395
2017-10-15,GROCERY I,231528.0529595587,127340.42912775729,335715.6767913601
2017-10-16,GROCERY I,231528.05252751912,127340.42889013553,335715.6761649027
2017-10-17,GROCERY I,231528.05230933966,127340.42877013683,335715.6758485425
2017-10-18,GROCERY I,231528.05238164036,127340.42880990221,335715.6759533785
2017-10-19,GROCERY I,231528.05256882735,127340.42891285506,335715.67622479965
2017-10-20,GROCERY I,231528.05267753438,127340.42897264392,335715.67638242483
2017-10-21,GROCERY I,231528.0526602116,127340.42896311638,335715.67635730683
2017-10-22,GROCERY I,231528.05258351873,127340.42892093532,335715.67624610214
2017-10-23,GROCERY I,231528.05252979873,127340.42889138931,335715.6761682081
2017-10-24,GROCERY I,231528.0525301244,127340.42889156843,335715.67616868037
2017-10-25,GROCERY I,231528.0525616651,127340.42890891581,335715.67621441436
2017-10-26,GROCERY I,231528.0525873829,127340.42892306061,335715.6762517052
2017-10-27,GROCERY I,231528.0525900337,127340.42892451855,335715.67625554884
2017-10-28,GROCERY I,231528.0525775336,127340.4289176435,335715.67623742373
2017-10-29,GROCERY I,231528.05256572246,127340.42891114736,335715.6762202976
2017-10-30,GROCERY I,231528.05256318013,127340.42890974908,335715.6762166112
2017-10-31,GROCERY I,231528.0525679489,127340.4289123719,335715.6762235259
2017-11-01,GROCERY I,231528.0525733524,127340.42891534384,335715.676231361
2017-11-02,GROCERY I,231528.052575022,127340.42891626211,335715.6762337819
2017-11-03,GROCERY I,231528.05257325617,127340.4289152909,335715.6762312214
2017-11-04,GROCERY I,231528.0525708594,127340.42891397269,335715.6762277461
2017-11-05,GROCERY I,231528.05256990594,127340.42891344828,335715.6762263636
2017-11-06,GROCERY I,231528.05257050358,127340.42891377698,335715.6762272302
2017-11-07,GROCERY I,231528.05257154978,127340.4289143524,335715.6762287472
2017-11-08,GROCERY I,231528.0525720642,127340.42891463531,335715.67622949305
2017-11-09,GROCERY I,231528.05257188017,127340.4289145341,335715.6762292262
2017-11-10,GROCERY I,231528.0525714313,127340.42891428723,335715.67622857535
