date,family,forecast,lower_ci,upper_ci
2017-08-16,GROCERY I,227115.37357142862,0,641600.9303392858
2017-08-17,GROCERY I,229546.46936734696,0,648468.7759627551
2017-08-18,GROCERY I,234502.5241341108,0,662469.6306788629
2017-08-19,GROCERY I,233971.18158184094,0,660968.5879687006
2017-08-20,GROCERY I,233305.97423638962,0,659089.3772178006
2017-08-21,GROCERY I,229715.04884158814,0,648945.0129774865
2017-08-22,GROCERY I,230337.81381895786,0,650704.3240385558
2017-08-23,GROCERY I,231213.48365023755,0,653178.091311921
2017-08-24,GROCERY I,231798.9279472103,0,654831.971450869
2017-08-25,GROCERY I,232120.70774433363,0,655740.9993777424
2017-08-26,GROCERY I,231780.44826007975,0,654779.7663347252
2017-08-27,GROCERY I,231467.486356971,0,653895.648958443
2017-08-28,GROCERY I,231204.84523133977,0,653153.6877785348
2017-08-29,GROCERY I,231417.67328701858,0,653754.9270358274
2017-08-30,GROCERY I,231571.93892531298,0,654190.7274640091
2017-08-31,GROCERY I,231623.14682175228,0,654335.3897714501
2017-09-01,GROCERY I,231598.03523240116,0,654264.4495315332
2017-09-02,GROCERY I,231523.36773069648,0,654053.5138392175
2017-09-03,GROCERY I,231486.6419407846,0,653949.7634827165
2017-09-04,GROCERY I,231489.37845275798,0,653957.4941290412
2017-09-05,GROCERY I,231530.02605581773,0,654072.323607685
2017-09-06,GROCERY I,231546.07645136048,0,654117.6659750933
2017-09-07,GROCERY I,231542.3818122244,0,654107.2286195338
2017-09-08,GROCERY I,231530.84395372044,0,654074.6341692602
2017-09-09,GROCERY I,231521.2451996232,0,654047.5176889355
2017-09-10,GROCERY I,231520.94198089844,0,654046.6610960381
2017-09-11,GROCERY I,231525.84198662895,0,654060.5036122267
2017-09-12,GROCERY I,231531.0510628962,0,654075.2192526817
2017-09-13,GROCERY I,231531.19749247885,0,654075.6329162527
2017-09-14,GROCERY I,231529.07192692434,0,654069.6281935612
2017-09-15,GROCERY I,231527.17051473865,0,654064.2567041366
2017-09-16,GROCERY I,231526.64573774123,0,654062.7742091189
2017-09-17,GROCERY I,231527.41724318665,0,654064.9537120023
2017-09-18,GROCERY I,231528.3422806564,0,654067.5669428542
2017-09-19,GROCERY I,231528.69946551745,0,654068.5759900868
2017-09-20,GROCERY I,231528.3635230348,0,654067.6269525732
2017-09-21,GROCERY I,231527.95867025707,0,654066.4832434761
2017-09-22,GROCERY I,231527.79963359033,0,654066.0339648926
2017-09-23,GROCERY I,231527.889507712,0,654066.2878592864
2017-09-24,GROCERY I,231528.06718913637,0,654066.7898093102
2017-09-25,GROCERY I,231528.16003855778,0,654067.0521089257
2017-09-26,GROCERY I,231528.13400397226,0,654066.9785612215
2017-09-27,GROCERY I,231528.0532237515,0,654066.750357098
2017-09-28,GROCERY I,231528.00889528246,0,654066.6251291729
2017-09-29,GROCERY I,231528.01607028607,0,654066.6453985581
2017-09-30,GROCERY I,231528.0469898141,0,654066.7327462247
2017-10-01,GROCERY I,231528.06948725722,0,654066.7963015016
2017-10-02,GROCERY I,231528.0698155602,0,654066.7972289574
2017-10-03,GROCERY I,231528.05692656056,0,654066.7608175335
2017-10-04,GROCERY I,231528.04591550172,0,654066.7297112923
2017-10-05,GROCERY I,231528.04487146603,0,654066.7267618915
2017-10-06,GROCERY I,231528.05001092082,0,654066.7412808513
2017-10-07,GROCERY I,231528.05485958295,0,654066.7549783217
2017-10-08,GROCERY I,231528.05598383563,0,654066.7581543355
2017-10-09,GROCERY I,231528.05405477542,0,654066.7527047405
2017-10-10,GROCERY I,231528.05180323473,0,654066.746344138
2017-10-11,GROCERY I,231528.05107133108,0,654066.7442765102
2017-10-12,GROCERY I,231528.0518078781,0,654066.7463572556
2017-10-13,GROCERY I,231528.0527987941,0,654066.7491565932
2017-10-14,GROCERY I,231528.0531970617,0,654066.7502816992
2017-10-15,GROCERY I,231528.0529595587,0,654066.7496107533
2017-10-16,GROCERY I,231528.05252751912,0,654066.7483902414
2017-10-17,GROCERY I,231528.05230933966,0,654066.7477738844
2017-10-18,GROCERY I,231528.05238164036,0,654066.747978134
2017-10-19,GROCERY I,231528.05256882735,0,654066.7485069372
2017-10-20,GROCERY I,231528.05267753438,0,654066.7488140345
2017-10-21,GROCERY I,231528.0526602116,0,654066.7487650977
2017-10-22,GROCERY I,231528.05258351873,0,654066.7485484404
2017-10-23,GROCERY I,231528.05252979873,0,654066.7483966814
2017-10-24,GROCERY I,231528.0525301244,0,654066.7483976014
2017-10-25,GROCERY I,231528.0525616651,0,654066.7484867038
2017-10-26,GROCERY I,231528.0525873829,0,654066.7485593567
2017-10-27,GROCERY I,231528.0525900337,0,654066.7485668452
2017-10-28,GROCERY I,231528.0525775336,0,654066.7485315324
2017-10-29,GROCERY I,231528.05256572246,0,654066.7484981659
2017-10-30,GROCERY I,231528.05256318013,0,654066.7484909839
2017-10-31,GROCERY I,231528.0525679489,0,654066.7485044556
2017-11-01,GROCERY I,231528.0525733524,0,654066.7485197205
2017-11-02,GROCERY I,231528.052575022,0,654066.7485244371
2017-11-03,GROCERY I,231528.05257325617,0,654066.7485194486
2017-11-04,GROCERY I,231528.0525708594,0,654066.7485126777
2017-11-05,GROCERY I,231528.05256990594,0,654066.7485099842
2017-11-06,GROCERY I,231528.05257050358,0,654066.7485116726
2017-11-07,GROCERY I,231528.05257154978,0,654066.748514628
2017-11-08,GROCERY I,231528.0525720642,0,654066.7485160813
