date,family,forecast,lower_ci,upper_ci
2017-08-16,GROCERY I,227115.37357142862,193048.06753571433,261182.6796071429
2017-08-17,GROCERY I,229546.46936734696,195114.49896224495,263978.43977244897
2017-08-18,GROCERY I,234502.5241341108,199327.1455139942,269677.9027542274
2017-08-19,GROCERY I,233971.18158184094,198875.5043445648,269066.8588191171
2017-08-20,GROCERY I,233305.97423638962,198310.0781009312,268301.87037184805
2017-08-21,GROCERY I,229715.04884158814,195257.79151534993,264172.30616782635
2017-08-22,GROCERY I,230337.81381895786,195787.1417461142,264888.48589180154
2017-08-23,GROCERY I,231213.48365023755,196531.46110270196,265895.50619777315
2017-08-24,GROCERY I,231798.9279472103,197029.08875512876,266568.7671392918
2017-08-25,GROCERY I,232120.70774433363,197302.6015826836,266938.81390598364
2017-08-26,GROCERY I,231780.44826007975,197013.38102106782,266547.5154990917
2017-08-27,GROCERY I,231467.486356971,196747.36340342538,266187.6093105166
2017-08-28,GROCERY I,231204.84523133977,196524.11844663884,265885.57201604074
2017-08-29,GROCERY I,231417.67328701858,196705.02229396583,266130.32428007136
2017-08-30,GROCERY I,231571.93892531298,196836.14808651604,266307.7297641099
2017-08-31,GROCERY I,231623.14682175228,196879.67479848946,266366.6188450151
2017-09-01,GROCERY I,231598.03523240116,196858.329947541,266337.7405172613
2017-09-02,GROCERY I,231523.36773069648,196794.86257109203,266251.87289030093
2017-09-03,GROCERY I,231486.6419407846,196763.64564966693,266209.63823190227
2017-09-04,GROCERY I,231489.37845275798,196765.97168484432,266212.7852206717
2017-09-05,GROCERY I,231530.02605581773,196800.5221474451,266259.5299641904
2017-09-06,GROCERY I,231546.07645136048,196814.16498365643,266277.98791906453
2017-09-07,GROCERY I,231542.3818122244,196811.02454039076,266273.73908405803
2017-09-08,GROCERY I,231530.84395372044,196801.21736066238,266260.47054677847
2017-09-09,GROCERY I,231521.2451996232,196793.05841967973,266249.43197956664
2017-09-10,GROCERY I,231520.94198089844,196792.8006837637,266249.0832780332
2017-09-11,GROCERY I,231525.84198662895,196796.96568863463,266254.7182846233
2017-09-12,GROCERY I,231531.0510628962,196801.39340346179,266260.70872233063
2017-09-13,GROCERY I,231531.19749247885,196801.51786860704,266260.87711635063
2017-09-14,GROCERY I,231529.07192692434,196799.71113788572,266258.432715963
2017-08-16,BEVERAGES,175549.57142857142,149217.13571428572,201882.00714285712
2017-08-17,BEVERAGES,178769.51020408163,151954.0836734694,205584.93673469385
2017-08-18,BEVERAGES,181958.15451895044,154664.43134110788,209251.877696793
2017-08-19,BEVERAGES,180936.3194502291,153795.87153269473,208076.76736776344
2017-08-20,BEVERAGES,180738.93651454753,153628.0960373654,207849.77699172965
2017-08-21,BEVERAGES,177651.07030234003,151003.40975698904,204298.730847691
2017-08-22,BEVERAGES,178053.79463124572,151345.7254365589,204761.86382593255
2017-08-23,BEVERAGES,179093.90814999514,152229.82192749588,205957.9943724944
